"source","gdd_silk","gdd_harv","gdd_silk_hat","gdd_harv_hat"
"17.2.19716.01839.0000000",888.017,1878.43,846.787988596246,1792.2926911338
"17.2.19716.01840.0000000",907.410454545455,1867.88363636364,862.866760122922,1792.2926911338
"17.2.19716.01841.0000000",883.415,1878.43,842.862592901741,1792.2926911338
"17.2.19716.01842.0000000",876.471111111111,1881.68944444444,828.240612281751,1792.29269113778
"17.2.19716.01843.0000000",871.346,1878.43,832.568025184013,1792.2926911338
"17.2.19716.01844.0000000",857.661,1878.43,820.895048200245,1792.2926911338
"17.2.19716.01845.0000000",862.605,1867.88363636364,824.131046948732,1792.2926911338
"17.2.19716.01846.0000000",908.4025,1874.8905,864.459023096433,1792.29269112608
"17.2.19716.01847.0000000",872.7605,1878.43,833.774559779815,1792.2926911338
"17.2.19716.01848.0000000",864.0295,1878.9335,826.327226053451,1792.29269113443
"17.2.19716.01849.0000000",842.791,1878.43,808.211294619782,1792.2926911338
"17.2.19716.01850.0000000",868.516363636364,1867.88363636364,829.241605219137,1792.2926911338
"17.2.19716.01851.0000000",869.048636363636,1867.88363636364,829.701771596272,1792.2926911338
"17.2.19716.01852.0000000",884.945555555556,1887.94666666667,845.334974860613,1792.29269112671
"17.2.19716.01853.0000000",886.626363636364,1867.88363636364,844.89826516604,1792.2926911338
"17.2.19716.01854.0000000",863.22,1878.43,825.636741956385,1792.2926911338
"17.2.19716.01855.0000000",873.136363636364,1868.34136363636,833.235739341428,1792.29269113443
"17.2.19716.01856.0000000",869.573,1878.43,831.055698681111,1792.2926911338
"17.2.19716.01857.0000000",859.453333333333,1859.51458333333,820.537088870429,1792.29269113443
"17.2.19716.01858.0000000",887.38,1868.34136363636,845.549807312316,1792.29269113443
"17.2.19716.01859.0000000",859.105454545455,1867.88363636364,821.105580733903,1792.2926911338
"17.2.19716.01860.0000000",871.039,1878.43,832.306161542507,1792.2926911338
"17.2.19716.01861.0000000",850.973636363636,1867.88363636364,814.075370241205,1792.2926911338
"17.2.19716.01862.0000000",845.849,1878.43,810.819695322476,1792.2926911338
"17.2.19716.01863.0000000",848.709,1878.43,813.259206771039,1792.2926911338
"17.2.19716.01865.0000000",851.8545,1878.43,815.942242876442,1792.2926911338
"17.2.19716.01867.0000000",836.665454545455,1867.88363636364,801.705500711347,1792.2926911338
"17.2.19716.01868.0000000",857.456818181818,1867.88363636364,819.680283167832,1792.2926911338
"17.2.19716.01871.0000000",845.9015,1878.9335,810.864476564102,1792.29269113443
"17.2.19716.01878.0000000",855.3075,1878.9335,818.887569111367,1792.29269113443
"17.2.19716.01879.0000000",876.0695,1878.9335,836.597057466281,1792.29269113443
"17.2.19716.01881.0000000",842.5085,1878.9335,807.970328891034,1792.29269113443
"17.2.19716.01883.0000000",868.6165,1879.6125,830.239827107492,1792.29269113528
"17.2.19716.01884.0000000",864.124090909091,1868.95863636364,825.44434842814,1792.29269113528
"17.2.19716.01887.0000000",857.4495,1879.6125,820.714643769696,1792.29269113528
"17.2.19716.01892.0000000",844.113636363636,1868.95863636364,808.14468624144,1792.29269113528
"17.2.19716.01893.0000000",868.92,1879.6125,830.49870533289,1792.29269113528
"17.2.19716.01894.0000000",851.079444444444,1916.25277777778,813.432609287583,1792.29269113542
"17.2.19716.01904.0000000",846.359,1878.43,811.254713098269,1792.2926911338
"17.2.19716.01948.0000000",852.712272727273,1867.88363636364,815.578475614854,1792.2926911338
"17.2.19716.01950.0000000",848.354166666667,1859.095,810.831951094083,1792.2926911338
"17.2.19716.01953.0000000",866.95,1867.88363636364,827.887434992315,1792.2926911338
"17.2.19716.01954.0000000",871.095,1867.88363636364,831.470916796838,1792.2926911338
"17.2.19716.01956.0000000",867.0315,1878.9335,828.887860098411,1792.29269113443
"17.2.19716.01957.0000000",872.5655,1878.9335,833.608229453776,1792.29269113443
"17.2.19716.01958.0000000",859.893,1878.9335,822.798890701361,1792.29269113443
"17.2.19716.01959.0000000",859.8015,1878.9335,822.720843394528,1792.29269113443
"17.2.19716.01964.0000000",867.895,1878.9335,829.62440490115,1792.29269113443
"17.2.19716.01966.0000000",876.3775,1878.9335,836.859774083818,1792.29269113443
"17.2.19716.01974.0000000",855.2255,1879.6125,818.817625076828,1792.29269113528
"17.2.19716.01975.0000000",858.985909090909,1868.95863636364,821.002229959193,1792.29269113528
"17.2.19716.02089.0000000",849.0965,1878.9335,813.589734983038,1792.29269113443
"17.2.19716.02090.0000000",864.87,1878.9335,827.044152407478,1792.29269113443
"17.2.19716.02094.0000000",845.6815,1879.6125,810.676821837289,1792.29269113528
"17.2.19716.02095.0000000",847.191111111111,1844.30888888889,811.917284309293,1792.29269112368
"17.2.19716.02097.0000000",866.236,1869.7625,819.361403050465,1792.29269113778
"17.2.19716.02098.0000000",860.0645,1878.43,822.945176090672,1792.2926911338
"17SGTF:LH195:0001",754.545,1408.415,775.797876019855,1792.29269113713
