date,location,rainfall,temp_mean,temp_min,temp_max
2018-05-15,INH1,0,20.8247916666667,16.22,25.06
2018-05-15,NCH1,8.38,24.0095744680851,20.33,29.83
2018-05-15,NEH2,0,19.8956944444444,13.5,26.22
2018-05-15,OHH1,0.254,23.404375,18.67,31.39
2018-05-15,TXH1,0,26.0529166666667,20.61,31.72
2018-05-15,TXH2,0,23.3679166666667,17.78,32.22
2018-05-15,WIH1,0.25,18.9064583333333,12.28,24.56
2018-05-16,ARH1,0,-1.53770833333333,-6.06,5.83
2018-05-16,ARH2,6.86,26.6135416666667,24.33,30.33
2018-05-16,GAH2,3.05,22.3014583333333,20.56,27.39
2018-05-16,IAH1,0,19.9814583333333,12.83,26.72
2018-05-16,IAH2,0,21.9152083333333,13.61,29.33
2018-05-16,IAH3,882,20.8147916666667,11.61,27.94
2018-05-16,IAH4,0,22.122,14.39,27.78
2018-05-16,ILH1,0,21.7854545454545,14.39,28.28
2018-05-16,INH1,0,19.9708333333333,15.33,25.61
2018-05-16,NCH1,6.35,23.73875,20.72,28.72
2018-05-16,NEH2,0,21.6631944444444,12,29.5
2018-05-16,OHH1,0.762,19.4508333333333,16,23.67
2018-05-16,TXH1,0,26.7708333333333,20,33.28
2018-05-16,TXH2,4.32,23.38625,16.11,31.11
2018-05-16,WIH1,0.25,19.26625,8.78,27.78
2018-05-17,ARH1,0,-5.20604166666667,-7.56,-0.78
2018-05-17,ARH2,0,24.0197916666667,22.56,26.39
2018-05-17,GAH2,1.52,22.591875,20.17,27
2018-05-17,IAH1,0,21.3164583333333,14.28,28.39
2018-05-17,IAH2,0,22.384375,14.22,28.78
2018-05-17,IAH3,875,21.7885416666667,12.89,28.72
2018-05-17,IAH4,0,21.2628571428571,13.28,27.78
2018-05-17,ILH1,0,22.73875,16.72,29.39
2018-05-17,INH1,4.06,21.02375,13.83,27.56
2018-05-17,MOH1,0,20.9875,18.67,25.44
2018-05-17,NCH1,1.78,21.8679166666667,19.83,24.56
2018-05-17,NEH2,0,22.8384722222222,12.89,30.5
2018-05-17,OHH1,0.254,20.84,15.67,26.56
2018-05-17,TXH1,0,27.6508333333333,20,34.39
2018-05-17,TXH2,0,23.5766666666667,17.22,35
2018-05-17,WIH1,0,18.6625,13.67,24.56
2018-05-18,ARH1,0,-8.308,-9.06,-5.89
2018-05-18,ARH2,19.05,23.9766666666667,22.06,26.94
2018-05-18,GAH2,0,22.2958333333333,18.17,28.33
2018-05-18,IAH1,0,19.9039583333333,14.67,24.39
2018-05-18,IAH2,3.56,22.0835416666667,13.56,29.67
2018-05-18,IAH3,907,20.4202083333333,12.28,26.56
2018-05-18,IAH4,4.83,21.0157142857143,15.61,28.28
2018-05-18,ILH1,0.51,21.3758333333333,18.28,24.39
2018-05-18,INH1,2.54,18.648125,15.89,22
2018-05-18,MOH1,2.29,19.5402083333333,16.83,22.67
2018-05-18,NCH1,1.27,23.3683333333333,21.56,26.22
2018-05-18,NEH2,0.51,21.0376056338028,12.89,27.5
2018-05-18,NYH2,0,19.6470833333333,18,20.94
2018-05-18,NYH3,0,19.61375,18,21.17
2018-05-18,OHH1,5.334,19.0777083333333,15.67,21.94
2018-05-18,TXH1,0,27.3633333333333,21.72,33.89
2018-05-18,TXH2,2.54,24.8195833333333,15.61,35
2018-05-18,WIH1,1.02,17.6993617021277,11.56,25
2018-05-19,ARH2,28.96,24.12625,22.89,26.22
2018-05-19,GAH2,0,23.4235416666667,17.94,30.11
2018-05-19,IAH1,4.06,21.0208333333333,13.5,27.22
2018-05-19,IAH2,1.27,17.2116666666667,14.72,20.61
2018-05-19,IAH3,239,19.6825,12.17,28.89
2018-05-19,IAH4,0,18.9633333333333,15.61,24.39
2018-05-19,ILH1,0,23.1329166666667,17.78,29.39
2018-05-19,INH1,0,19.889375,15.06,26.44
2018-05-19,MOH1,12.45,19.3891666666667,15.11,23.94
2018-05-19,NCH1,0,21.869375,21.22,23.5
2018-05-19,NEH2,2.29,15.9818309859155,13,19.61
2018-05-19,NYH2,0,19.1216666666667,18.5,20.17
2018-05-19,NYH3,0,18.9383333333333,18.28,20
2018-05-19,OHH1,0,20.6122916666667,17.72,25.39
