year,location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,0,15,100,85,69,19,84.1,2.5,9.6,25.6,34.2,12.2,9.4,4.8,4.6,6.5,0.75,2.64,91.5,0.11,18.9,14,5.3,33,0.1,0,0,0,1,2.1,NA,NA,NA,2,NA,0.9,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,15,30,100,84.6,69.1333333333333,20.3333333333333,82.2866666666667,2.5,9.28,24.7866666666667,33.5733333333333,12.1466666666667,9.48,4.77333333333333,4.70666666666667,8.23333333333333,0.716666666666667,2.64,83.0333333333333,0.118,16.38,14.8933333333333,6.32666666666667,33,0.113333333333333,0,0,0,1,1.82,0.28,NA,NA,1.84,NA,1.3,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,30,60,100,82.1333333333333,70,29.8,69.5666666666667,2.54,7.33333333333333,19.3,28.86,11.5333333333333,9.93333333333333,4.61333333333333,5.32,20.5,0.466666666666667,2.64133333333333,25.4666666666667,0.168666666666667,NA,21.02,13.4666666666667,33,0.2,0,0,0,1,0.546666666666667,1.82,NA,NA,1.02666666666667,NA,3.71333333333333,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,60,90,100,83,70,35,63.5,2.8,8.2,18,24.7,9.8,9.5,4.7,4.8,27,0.25,2.65,9,0.16,NA,23.1,16.5,33,0.2,0,0,0,1,4.1,NA,NA,NA,2.5,NA,2.5,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,90,120,100,89,74.8,37.4,63.92,2.86,8.5,18.96,23.8,9.8,8.54,4.34,4.2,27.54,0.172,2.65,5.22,0.118,NA,24.54,18,33,0.182,0,0,0,1,1.64,1.5,NA,NA,1.66,NA,4.18,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,120,150,100,96.0666666666667,80.3,40.5333333333333,62.6666666666667,2.9,8.7,19.6,23.2,8.26666666666667,7.9,4.1,3.8,29.4333333333333,0.12,2.65,2.7,0.09,NA,26.7266666666667,20.4566666666667,33.7666666666667,0.193,0,0,0,1,NA,2.57666666666667,NA,NA,1.17666666666667,NA,5.53,NA,NA
2018,GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,150,180,100,96.0666666666667,80.5,44.6,59.9233333333333,2.91333333333333,8.99333333333333,17.0866666666667,19.6333333333333,11.2966666666667,7.99333333333333,4.00666666666667,3.98666666666667,32.0833333333333,0.101333333333333,2.65,1.805,0.125,NA,26.8333333333333,18.7666666666667,39.5333333333333,0.2,0,0,0,1,NA,2.73,NA,NA,1.40333333333333,NA,5.94,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,0,15,100,98,76,40,65,4.3,13.9,17.2,19.3,10.3,20,0,0,15,0.25,NA,28,0.14,NA,19.4,10.5,39,0.24,0,0,0,0,NA,3.4,NA,NA,2.4,NA,4.7,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,15,30,96.8,96.4,82.4,47.2,57.64,2.46,9.34,20.24,16.74,8.86,18.16,0,0,24.2,0.25,NA,12.8,0.148,NA,22.84,14.58,43,0.208,0,0,0,0,7.44,0.68,NA,NA,3.68,NA,7.34,NA,NA
2018,GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,30,60,96,96,84,49,55.8,2,8.2,21,16.1,8.5,17.7,0,0,26.5,0.25,NA,9,0.15,NA,23.7,15.6,44,0.2,0,0,0,0,9.3,NA,NA,NA,4,NA,8,NA,NA
