location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,0,10,100,100,100,98.5,10.1666666666667,0.7,1.06666666666667,1.63333333333333,3.16666666666667,3.6,63.5,19.6666666666667,26,26.3333333333333,3.83333333333333,NA,5,0.223333333333333,NA,29.7,17,45,0.353333333333333,0,0,0,0.0666666666666667,25.4,NA,NA,NA,14.7333333333333,NA,6.76666666666667,NA,NA
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,10,25,100,100,100,98.5,10.1666666666667,0.7,1.06666666666667,1.63333333333333,3.16666666666667,3.6,63.3222222222222,19.5777777777778,25.9111111111111,26.5111111111111,3.63333333333333,NA,5,0.221333333333333,NA,30.2666666666667,17.1955555555556,44.5777777777778,0.353333333333333,0,0,0,0.0666666666666667,25.4488888888889,NA,NA,NA,14.6133333333333,NA,6.88666666666667,NA,NA
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,25,50,100,100,100,98.5,8.33733333333333,0.513333333333333,0.805333333333333,1.27866666666667,2.57866666666667,3.16133333333333,62.0226666666667,18.76,25,29.64,2.05,NA,3.94933333333333,0.205733333333333,NA,31.6266666666667,18.356,44.48,0.421733333333333,0,0,0,0.0666666666666667,25.7346666666667,NA,NA,NA,15.2186666666667,NA,7.08266666666667,NA,NA
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,50,80,100,100,100,98.5,3.63333333333333,0.0433333333333333,0.153333333333333,0.396666666666667,1.08666666666667,1.95333333333333,58.8166666666667,17.1444444444444,22.9555555555556,37.55,0.986666666666667,NA,0.779555555555556,0.172555555555556,NA,32.99,22.0455555555556,43.7555555555556,0.404,0,0,0,0.0666666666666667,30.0577777777778,NA,NA,NA,17.7,NA,7.71111111111111,NA,NA
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,80,100,100,100,100,98.5,3.63333333333333,0.0666666666666667,0.2,0.466666666666667,1.13333333333333,1.76666666666667,58.3166666666667,17.6333333333333,23.4833333333333,38.05,0.816666666666667,NA,0.825,0.173333333333333,NA,32.9733333333333,22.095,43.7,0.39,0,0,0,0.0666666666666667,29.3333333333333,NA,NA,NA,17.175,NA,7.47166666666667,NA,NA
IAH1,41.19870, -91.48618,6/10/2020 1:58:39 PM,Taintor silty clay loam. 0 to 2 percent slopes,Mahaska - Taintor - Sperry,100,200,84,84,84,82.66,6.10633333333333,0.0666666666666667,0.169,0.496666666666667,1.76033333333333,3.61366666666667,50.7653333333333,14.6366666666667,18.7666666666667,27.1283333333333,0.396,NA,1.91086666666667,0.154766666666667,NA,26.6023333333333,15.4236666666667,36.36,0.373,0,0,0,0.0506666666666667,21.9423333333333,NA,NA,NA,11.7913333333333,NA,4.894,NA,NA
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,0,10,98,91.6666666666667,83.6666666666667,58,42.3333333333333,2,4.33333333333333,9.66666666666667,16.3333333333333,10,36,18,18,21.6666666666667,4,2.56333333333333,9.17,0.2,NA,28.3666666666667,14.3,47,0.266666666666667,4,0,0,0,18.1333333333333,NA,6.36666666666667,NA,29.8,NA,4.73333333333333,NA,NA
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,10,25,98,91.8888888888889,84.1111111111111,58.8222222222222,41.3333333333333,2,4.22222222222222,9.33333333333333,16.1111111111111,9.66666666666667,36.6666666666667,17.8888888888889,18.7777777777778,22,3.51111111111111,2.57044444444444,9.17,0.198666666666667,NA,28.4555555555556,14.4244444444444,45.4666666666667,0.278444444444444,4.88888888888889,0,0,0,18.28,NA,6.33333333333333,NA,29.9755555555556,NA,4.76,NA,NA
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,25,50,98,92.5333333333333,85.04,60.1866666666667,40.1333333333333,2.16,4,8.82666666666667,15.8266666666667,9.32,37.2,17.5066666666667,19.6933333333333,22.6666666666667,1.54333333333333,2.59906666666667,9.17,0.1852,NA,28.1533333333333,13.9413333333333,41.48,0.3244,6.66666666666667,0,0,0,18.1933333333333,NA,6.33866666666667,NA,30.2066666666667,NA,4.03733333333333,NA,NA
IAH2,42.06593, -94.72742,6/10/2020 2:37:54 AM,Clarion loam. Bemis moraine. 2 to 6 percent slopes,Storden - Nicollet - Clarion,50,80,98,92.7333333333333,84.8666666666667,58.9333333333333,41.8666666666667,2.33333333333333,4.13333333333333,9.33333333333333,16.3333333333333,9.73333333333333,36.2,17.3333333333333,18.8666666666667,21.9333333333333,0.766666666666667,2.61333333333333,9.17,0.18,NA,27.5466666666667,13.0733333333333,40.4666666666667,0.34,7.66666666666667,0,0,0,17.2,NA,6.5,NA,32.1,NA,3.12,NA,NA
