year2014 year2015 year2016 year2017 year2018 year2019
-0.5550755 -0.8154458 -0.6201193 0.01628774 -0.006147936 0.02227829
-0.5076766 -0.8361363 -0.5989726 0.0334264 0.009443951 0.03569444
-0.5293565 -0.8481533 -0.5911055 0.0787197 0.02741008 0.04699588
-0.519616 -0.8558001 -0.6256967 0.08364 0.0316599 0.02474124
-0.4852914 -0.8514225 -0.6215795 0.06511723 0.04329314 0.05838471
-0.4969409 -0.8706987 -0.6578524 0.06673108 0.03111893 0.05548591
-0.4955315 -0.8764036 -0.6983172 0.05542165 0.04589656 0.0496183
-0.4750464 -0.8531339 -0.6630052 0.03144586 0.06621032 0.08926695
-0.4995451 -0.8723365 -0.6604083 0.07818465 0.06898775 0.1017486
-0.4985656 -0.8238195 -0.6487571 0.0537611 0.08622237 0.1020498
-0.535126 -0.7972127 -0.6520963 0.0543692 0.07439123 0.08418142
-0.5037717 -0.7830719 -0.6698342 0.0502432 0.06417644 0.1162586
-0.4973954 -0.8180919 -0.6685378 0.08524219 0.07316753 0.1245853
-0.5173501 -0.837956 -0.6941414 0.1002469 0.06463492 0.1067978
-0.531997 -0.8218183 -0.7296146 0.1157823 0.1005348 0.1119152
-0.5255303 -0.8136908 -0.7260402 0.09172694 0.1236733 0.1481228
-0.4699252 -0.8286592 -0.7316418 0.08533066 0.1359832 0.145271
-0.4402528 -0.8145833 -0.7141846 0.08814956 0.1691148 0.1678485
-0.4238905 -0.8340481 -0.6747517 0.09350767 0.1950287 0.1751753
-0.4523742 -0.8190934 -0.6680271 0.1020927 0.1558408 0.1715129
-0.4328936 -0.8247424 -0.6450658 0.1506754 0.1717103 0.1624
-0.424706 -0.8029056 -0.6118937 0.13229 0.1732718 0.1290146
-0.4300854 -0.7647305 -0.631538 0.1800823 0.1811275 0.1370912
-0.4316177 -0.7406734 -0.6393754 0.1957346 0.223232 0.1261115
-0.4366885 -0.7095498 -0.6545275 0.1776338 0.226385 0.1058063
-0.4210633 -0.6760801 -0.6251057 0.2317537 0.2170309 0.1041381
-0.387794 -0.6396203 -0.5962202 0.2664498 0.2377553 0.1244913
-0.3764144 -0.6283848 -0.6072502 0.2659508 0.2463857 0.1228974
-0.3765622 -0.6622353 -0.6128474 0.2564805 0.2604889 0.1275214
-0.3302695 -0.6686515 -0.6141405 0.2603586 0.2698554 0.09905558
-0.299829 -0.6953569 -0.6463449 0.3031628 0.29689 0.09740282
-0.3109512 -0.7258339 -0.6130382 0.3404771 0.2767136 0.08490081
-0.2732749 -0.6954813 -0.565393 0.3805572 0.2912327 0.1049386
-0.3136717 -0.6298669 -0.5136235 0.3422194 0.2882206 0.1091951
-0.3304604 -0.6255149 -0.5103979 0.3252095 0.2957119 0.1281408
